name;category
Alfalfa;vegetal
Allspice;spicy
Almond;earthy-woody
Ananas;tropical
Anise;spicy
Aniseed;spicy
Apple;fruity
Apricot;fruity
Aromatic;other
Artichoke;vegetal
Balanced;other
Balsamic;spicy
Banana;fruity
Basil;herbal
Bergamot;citrus
Berries;fruity
Black Currant;fruity
Black Pepper;spicy
Black Tea;fruity
Blackberry;fruity
Blueberry;fruity
Bright;other
Bubblegum;fruity
Calendula;floral
Candy;cream-caramel
Cannabis;herbal
Cantaloupe;tropical
Caramel;cream-caramel
Cassis;fruity
Cedar;earthy-woody
Celeriac;vegetal
Chamomile;floral
Cherry;fruity
Chilies;spicy
Chocolate;cream-caramel
Cinnamon;spicy
Citrus;citrus
Clean;other
Clementine;citrus
Clove;spicy
Clover;herbal
Coconut;tropical
Coffee;cream-caramel
Cognac;earthy-woody
Cream;tropical
Creamy;cream-caramel
Cress;vegetal
Crisp;other
Cucumber;vegetal
Currant;fruity
Curry;spicy
Dank;earthy-woody
Delicate;other
Dill;herbal
Dried Fruit;fruity
Earthy;earthy-woody
Elderberry;fruity
Elderflower;floral
Eucalyptus;herbal
Evergreen;earthy-woody
Exotic;other
Fig;fruity
Floral;floral
Fresh;other
Fruity;fruity
Garlic;vegetal
Gazpacho;spicy
Geranium;floral
Ginger;spicy
Gingerbread;spicy
Gooseberry;fruity
Grapefruit;citrus
Grapes;fruity
Grassy;earthy-woody
Green;vegetal
Green Fruit;fruity
Green Tea;herbal
Guava;tropical
Hay;earthy-woody
Hazelnut;earthy-woody
Herbal;herbal
Honey;cream-caramel
Honeydew;tropical
Incense;earthy-woody
Intense;other
Jasmine;floral
Juicy;other
Juniper;herbal
Kiwi;citrus
Kumquat;citrus
Lavender;floral
Leather;earthy-woody
Lemon;citrus
Lemongrass;citrus
Licorice;spicy
Lilac;floral
Lime;citrus
Loganberry;fruity
Lychee;tropical
Magnolia;floral
Mandarin;citrus
Mango;tropical
Marjoram;herbal
Marmalade;citrus
Mate Tea;herbal
Melon;tropical
Menthol;herbal
Mild;other
Mint;herbal
Mojito;herbal
Molasses;cream-caramel
Musty;earthy-woody
Nectar;fruity
Nectarine;fruity
Noble;other
Nougat;cream-caramel
Nutmeg;spicy
Oak;earthy-woody
Onion;vegetal
Orange;citrus
Oregano;herbal
Papaya;tropical
Passion Fruit;tropical
Peach;fruity
Pear;fruity
Pepper;spicy
Pine;earthy-woody
Pineapple;tropical
Pleasant;other
Plum;fruity
Pomegranate;fruity
Pungent;spicy
Quince;fruity
Raspberry;fruity
Red Berries;fruity
Red Currant;fruity
Red Fruit;fruity
Refreshing;other
Resinous;earthy-woody
Rose;floral
Rustic;other
Sage;herbal
Smooth;other
Soft;other
Spearmint;herbal
Spice;spicy
Spicy;spicy
Stone Fruit;fruity
Strawberry;fruity
Subtle;other
Sulfur;vegetal
Sweet;cream-caramel
Tangerine;citrus
Tangy;spicy
Tarragon;herbal
Tea;herbal
Thyme;herbal
Tobacco;earthy-woody
Toffee;cream-caramel
Tomato;vegetal
Tropical Fruits;tropical
Vanilla;cream-caramel
Vegetal;vegetal
Vibrant;other
Watermelon;fruity
Whisky;earthy-woody
White Wine;fruity
Whitegrape;fruity
Woody;earthy-woody
Yogurt;cream-caramel
Zesty;citrus
